system:time_start,B2 1984-09-01,B2 1985-09-01,B2 1986-09-01,B2 1988-09-01,B2 1989-09-01,B2 1990-09-01,B2 1991-09-01,B2 1992-09-01,B2 1993-09-01,B2 1994-09-01,B2 1995-09-01,B2 1996-09-01,B2 1997-09-01,B2 1998-09-01,B2 1999-09-01,B2 2000-09-01,B2 2001-09-01,B2 2002-09-01,B2 2003-09-01,B2 2004-09-01,B2 2005-09-01,B2 2006-09-01,B2 2007-09-01,B2 2008-09-01,B2 2009-09-01,B2 2010-09-01,B2 2011-09-01,B2 2012-09-01,B2 2013-09-01,B2 2014-09-01,B2 2015-09-01,B2 2016-09-01,B2 2017-09-01,B2 2018-09-01,B2 2019-09-01,B2 2020-09-01,B2 2021-09-01,B2 2022-09-01,B2 2023-09-01,B2 2024-09-01
"Sep 1, 1984","1,190.538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1985",,441.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1986",,,499.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1988",,,,964.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1989",,,,,487.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1990",,,,,,567.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1991",,,,,,,486.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1992",,,,,,,,657.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1993",,,,,,,,,459.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1994",,,,,,,,,,548.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1995",,,,,,,,,,,503.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1996",,,,,,,,,,,,615.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1997",,,,,,,,,,,,,580.646,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1998",,,,,,,,,,,,,,448.516,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 1999",,,,,,,,,,,,,,,576.722,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2000",,,,,,,,,,,,,,,,547.797,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2001",,,,,,,,,,,,,,,,,517.114,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2002",,,,,,,,,,,,,,,,,,615.223,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2003",,,,,,,,,,,,,,,,,,,507.841,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2004",,,,,,,,,,,,,,,,,,,,712.138,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2005",,,,,,,,,,,,,,,,,,,,,687.984,,,,,,,,,,,,,,,,,,,
"Sep 1, 2006",,,,,,,,,,,,,,,,,,,,,,553.61,,,,,,,,,,,,,,,,,,
"Sep 1, 2007",,,,,,,,,,,,,,,,,,,,,,,594.443,,,,,,,,,,,,,,,,,
"Sep 1, 2008",,,,,,,,,,,,,,,,,,,,,,,,863.304,,,,,,,,,,,,,,,,
"Sep 1, 2009",,,,,,,,,,,,,,,,,,,,,,,,,540.086,,,,,,,,,,,,,,,
"Sep 1, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,931.799,,,,,,,,,,,,,,
"Sep 1, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,630.475,,,,,,,,,,,,,
"Sep 1, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,708.982,,,,,,,,,,,,
"Sep 1, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.617,,,,,,,,,,,
"Sep 1, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.986,,,,,,,,,,
"Sep 1, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.994,,,,,,,,,
"Sep 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.202,,,,,,,,
"Sep 1, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.466,,,,,,,
"Sep 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.957,,,,,,
"Sep 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.186,,,,,
"Sep 1, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.863,,,,
"Sep 1, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.944,,,
"Sep 1, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.651,,
"Sep 1, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.346,
"Sep 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.271
